1832*{'date': 'February 9', 'text': 'The Florida Legislative Council grants a city charter for Jacksonville, Florida.', 'self': False, 'pos': 'DET'}
1832*{'date': 'February 12', 'text': 'Ecuador annexes the Galapagos Islands.', 'self': False, 'pos': 'NP'}
1832*{'date': 'February 12', 'text': 'Cholera breaks out in London, claiming at least 3,000 victims.', 'self': False, 'pos': 'NP'}
1832*{'date': 'May 7', 'text': 'The Treaty of London creates an independent Kingdom of Greece.', 'self': False, 'pos': 'DET'}
1832*{'date': 'May 11', 'text': 'Greece is recognized as a sovereign nation; the Treaty of Constantinople ends the Greek War of Independence in July.', 'self': False, 'pos': 'NP'}
1832*{'date': 'May 10', 'text': 'The Egyptians, aided by Maronites, seize Acre from the Ottoman Empire after a 7-month siege.', 'self': False, 'pos': 'DET'}
1832*{'date': 'June 7', 'text': 'The Reform Act becomes law in Britain.', 'self': False, 'pos': 'DET'}
1832*{'date': 'July 4', 'text': 'The University of Durham is founded by an act of Parliament and given royal assent by King William IV.', 'self': False, 'pos': 'DET'}
1832*{'date': 'July 9', 'text': 'Commissioner of Indian Affairs post created within the War Department.', 'self': False, 'pos': 'NP'}
1832*{'date': 'July 10', 'text': 'U.S. Survey of the Coast revived (with US Department of Treasury).', 'self': False, 'pos': 'NP'}
1832*{'date': 'August 17', 'text': 'China ceases production of iron shuriken.', 'self': False, 'pos': 'NP'}
1832*{'date': 'October 19', 'text': 'Alpha Delta Phi Fraternity is founded at Hamilton College.', 'self': False, 'pos': 'NP'}
1832*{'date': 'November 14', 'text': 'Charles Carroll, the last surviving signer of the Declaration of Independence dies at his home in Maryland at age 95.', 'self': False, 'pos': 'NP'}
1832*{'date': 'December 23', 'text': 'The Battle of Antwerp ends with the Netherlands losing the city.', 'self': False, 'pos': 'DET'}
1832*{'text': 'George Catlin starts to live among the Sioux in the Dakota Territory.', 'self': False, 'pos': 'NP'}
1832*{'text': 'William Howley Archbishop of Canterbury has his coach attacked by an angry mob on his first official visit to Canterbury.', 'self': False, 'pos': 'NP'}
1833*{'date': 'January 23', 'text': 'Britain retakes the Falkland Islands in the South Atlantic.', 'self': False, 'pos': 'NP'}
1833*{'date': 'March 4', 'text': 'Andrew Jackson is sworn in for his second term as President of the United States.', 'self': False, 'pos': 'NP'}
1833*{'date': 'May 6', 'text': 'Carl Friedrich Gauss and Wilhelm Weber obtain permission to build an electromagnetic telegraph in Göttingen.', 'self': False, 'pos': 'NP'}
1833*{'date': 'May 25', 'text': 'The Chilean Constitution of 1833 is promulgated.', 'self': True, 'pos': 'DET'}
1833*{'date': 'June 5', 'text': 'Ada Lovelace is introduced to Charles Babbage by Mary Somerville.', 'self': False, 'pos': 'NP'}
1833*{'date': 'June 29', 'text': 'William Fraser Tolmie experiences an earthquake at Fort Nisqually.', 'self': False, 'pos': 'NP'}
1833*{'text': 'The British Parliament passes the Slavery Abolition Act, giving all slaves in the British Empire their freedom (enacted 1834).', 'self': False, 'pos': 'DET'}
1833*{'date': 'August 12', 'text': 'The city of Chicago is established at the estuary of the Chicago River by 350 settlers.', 'self': False, 'pos': 'DET'}
1833*{'date': 'August 18', 'text': 'The Canadian ship SS Royal William sets out from Pictou, Nova Scotia on a 25-day passage of the Atlantic Ocean largely under steam to Gravesend, Kent, England.', 'self': False, 'pos': 'DET'}
1833*{'date': 'August 26', 'text': 'The Canton of Basel is partitioned by the Swiss Tagsatzung, to create the two half-cantons of Basel-City and Basel-Country.', 'self': False, 'pos': 'DET'}
1833*{'date': 'August 29', 'text': 'The British Parliament enacts the Factory Acts limiting child labour (see also History of the United Kingdom).', 'self': False, 'pos': 'DET'}
1833*{'date': 'November 25', 'text': 'A major 8.7 earthquake strikes Sumatra.', 'self': False, 'pos': 'DET'}
1833*{'date': 'December 14', 'text': 'Kaspar Hauser, a mysterious German youth, is stabbed, dying three days later on December 17.', 'self': False, 'pos': 'NP'}
1833*{'text': 'Greece recaptures the Acropolis.', 'self': False, 'pos': 'NP'}
1833*{'text': 'Kalamazoo College in Kalamazoo, Michigan.', 'self': False, 'pos': 'NP'}
1833*{'text': 'Oberlin College in Oberlin, Ohio.', 'self': False, 'pos': 'NP'}
1830*{'date': 'January 12–January 27', 'text': "Robert Y. Hayne of South Carolina debates the question of states' rights vs. federal authority with Daniel Webster of Massachusetts in the United States Congress.", 'self': False, 'pos': 'NP'}
1830*{'date': 'February 3', 'text': 'Greece is liberated from the Ottoman forces as the final result of the Greek War of Independence.', 'self': False, 'pos': 'NP'}
1830*{'date': 'March 26', 'text': 'The Book of Mormon is published in Palmyra, New York.', 'self': False, 'pos': 'DET'}
1830*{'date': 'April 6', 'text': 'Joseph Smith and 5 others organize the Church of Christ (later renamed the Church of Jesus Christ of Latter Day Saints), the first formally organized church of the Latter Day Saint movement, in northwestern New York.', 'self': False, 'pos': 'NP'}
1830*{'date': 'May 13', 'text': 'Ecuador separates from Gran Colombia.', 'self': False, 'pos': 'NP'}
1830*{'date': 'May 28', 'text': 'The United States Congress passes the Indian Removal Act.', 'self': False, 'pos': 'DET'}
1830*{'date': 'June 26', 'text': 'William IV succeeds his brother George IV as King of the United Kingdom.', 'self': False, 'pos': 'NP'}
1830*{'date': 'July 5', 'text': 'France invades Algeria (see French period in Algeria).', 'self': False, 'pos': 'NP'}
1830*{'date': 'July 13', 'text': "The General Assembly's Institution, now the Scottish Church College, one of the pioneering institutions that ushered the Bengal Renaissance, is founded by Alexander Duff and Raja Ram Mohan Roy, in Calcutta, India.", 'self': False, 'pos': 'DET'}
1830*{'date': 'July 17', 'text': 'Barthélemy Thimonnier is granted a patent (#7454) for a sewing machine in France; it chains stitches at 200/minute.', 'self': False, 'pos': 'NP'}
1830*{'date': 'July 18', 'text': 'Uruguay adopts its first constitution.', 'self': False, 'pos': 'NP'}
1830*{'date': 'July 20', 'text': 'Greece grants citizenship to Jews.', 'self': False, 'pos': 'NP'}
1830*{'date': 'August 25', 'text': 'The Belgian Revolution begins.', 'self': False, 'pos': 'DET'}
1830*{'date': 'August 31', 'text': 'Edwin Beard Budding is granted a patent for the invention of the lawnmower.', 'self': False, 'pos': 'NP'}
1830*{'date': 'September 15', 'text': "The Liverpool and Manchester Railway opens, the world's first intercity passenger railway operated solely by steam locomotives.", 'self': False, 'pos': 'DET'}
1830*{'date': 'September 27', 'text': 'The Belgian Revolution ends by liberating Brussels from the United Kingdom of the Netherlands.', 'self': False, 'pos': 'DET'}
1830*{'date': 'October 4', 'text': 'The Provisional Government in Brussels declares the creation of the independent state of Belgium, in revolt against the United Kingdom of the Netherlands.', 'self': False, 'pos': 'DET'}
1830*{'date': 'November 8', 'text': 'Ferdinand II becomes King of the Two Sicilies.', 'self': False, 'pos': 'NP'}
1830*{'date': 'November 22', 'text': 'The Whig Charles Grey, 2nd Earl Grey succeeds Arthur Wellesley, 1st Duke of Wellington as Prime Minister of the United Kingdom.', 'self': False, 'pos': 'DET'}
1830*{'date': 'November 29', 'text': 'The Polish insurrection begins in Warsaw against Russian rule.', 'self': False, 'pos': 'DET'}
1830*{'date': 'December 5', 'text': "Hector Berlioz's most famous work, Symphonie Fantastique, has its world premiere in Paris.", 'self': False, 'pos': 'NP'}
1830*{'date': 'December 20', 'text': 'The independence of Belgium is recognized by the Great Powers.', 'self': False, 'pos': 'DET'}
1830*{'text': 'The Java War ends.', 'self': False, 'pos': 'DET'}
1831*{'date': 'January 1', 'text': 'William Lloyd Garrison begins publishing The Liberator, an antislavery newspaper, in Boston, Massachusetts.', 'self': False, 'pos': 'NP'}
1831*{'date': 'January 14', 'text': 'The Hunchback of Notre Dame is first published by Victor Hugo.', 'self': False, 'pos': 'DET'}
1831*{'date': 'February 2', 'text': 'Pope Gregory XVI succeeds Pope Pius VIII as the 254th pope.', 'self': False, 'pos': 'NP'}
1831*{'date': 'March 10', 'text': 'The French Foreign Legion is founded.', 'self': False, 'pos': 'DET'}
1831*{'date': 'March 29', 'text': 'The Great Bosnian uprising against the Ottoman Empire breaks out.', 'self': False, 'pos': 'DET'}
1831*{'date': 'April 7', 'text': 'Pedro I of Brazil abdicates as emperor of Brazil in favor of his son Pedro II of Brazil.', 'self': False, 'pos': 'NP'}
1831*{'date': 'April 18', 'text': 'University of Alabama founded.', 'self': False, 'pos': 'NP'}
1831*{'date': 'April 27', 'text': 'Charles Albert of Sardinia become king of Sardinia after the death of king Charles Felix of Sardinia.', 'self': False, 'pos': 'NP'}
1831*{'date': 'July 21', 'text': 'Léopold I of Belgium is inaugurated as first king of the Belgians.', 'self': False, 'pos': 'NP'}
1831*{'date': 'August 2', 'text': 'The Dutch ten-day campaign in Belgium is halted by a French army.', 'self': False, 'pos': 'DET'}
1831*{'date': 'August 7', 'text': 'American Baptist minister William Miller preaches his first sermon on the Second Advent of Christ in Dresden, New York, launching the Advent Movement in the United States.', 'self': False, 'pos': 'NP'}
1831*{'date': 'November 7', 'text': 'Slave trading is forbidden in Brazil.', 'self': False, 'pos': 'NP'}
1831*{'date': 'December 27', 'text': 'Charles Darwin embarks on his historic journey aboard the HMS Beagle.', 'self': False, 'pos': 'NP'}
1831*{'date': 'December 31', 'text': 'Gramercy Park is deeded to New York City.', 'self': False, 'pos': 'NP'}
1831*{'text': 'The general assembly composed of deputies and senators elects an officer and two members to compose the Standing Triple regency.[where?.', 'self': False, 'pos': 'DET'}
1831*{'text': 'The Sydney Morning Herald newspaper is first published.', 'self': False, 'pos': 'DET'}
1831*{'text': "Muhammad Ali of Egypt's French-trained forces occupy Syria.", 'self': False, 'pos': 'NP'}
1831*{'text': 'Denison University in Granville, Ohio.', 'self': False, 'pos': 'NP'}
1831*{'text': 'Wesleyan University in Middletown, Connecticut.', 'self': False, 'pos': 'NP'}
1831*{'text': 'New York University in New York City.', 'self': False, 'pos': 'NP'}
1831*{'text': 'Xavier University in Cincinnati, Ohio (as "The Athenaeum").', 'self': False, 'pos': 'NP'}
1836*{'date': 'January 5', 'text': 'Davy Crockett arrives in Texas.', 'self': False, 'pos': 'NP'}
1836*{'date': 'January 18', 'text': 'Dade County, Florida, is formed.', 'self': False, 'pos': 'NP'}
1836*{'date': 'February 23', 'text': "The Alamo is surrounded by Santa Anna's army, in a 13-day ordeal.", 'self': False, 'pos': 'DET'}
1836*{'date': 'February 25', 'text': 'Samuel Colt receives an American patent for the Colt revolver, the first revolving barrel multishot firearm.', 'self': False, 'pos': 'NP'}
1836*{'text': "Antonio García Gutiérrez's play El Trovador is performed for the first time in Madrid, Spain.", 'self': False, 'pos': 'NP'}
1836*{'text': 'A Convention of 57 delegates from Texas communities gathers in Washington-on-the-Brazos, Texas, to deliberate independence from Mexico.', 'self': False, 'pos': 'DET'}
1836*{'date': 'March 6', 'text': 'The Battle of the Alamo ends; 182 Texans are slaughtered by about 5,000 Mexicans.', 'self': False, 'pos': 'DET'}
1836*{'date': 'March 17', 'text': 'Texas abolishes the slave trade.', 'self': False, 'pos': 'NP'}
1836*{'date': 'March 27', 'text': 'U.S. Survey of the Coast returned to U.S. Treasury Department; renamed U.S. Coastal Survey.', 'self': False, 'pos': 'NP'}
1836*{'date': 'April 20', 'text': 'The Territory of Wisconsin is created.', 'self': False, 'pos': 'DET'}
1836*{'date': 'May 7', 'text': 'The settlement of Mayagüez, Puerto Rico is elevated to the royal status of villa by the government of Spain.', 'self': False, 'pos': 'DET'}
1836*{'date': 'May 15', 'text': "Francis Baily, during an eclipse of the sun, observes the phenomenon named after him as Baily's beads.", 'self': False, 'pos': 'NP'}
1836*{'date': 'June 15', 'text': 'Arkansas is the 25th state admitted into the United States of America.', 'self': False, 'pos': 'NP'}
